stamp_ns,time_sec,tb1_odom_x_m,tb1_odom_y_m,tb1_odom_yaw_rad,tb2_odom_x_m,tb2_odom_y_m,tb2_odom_yaw_rad,uwb_range_m,uwb_sync_ms,camera_bearing_deg,camera_range_m,camera_uwb_residual_m,gt_x_m,gt_y_m,gt_yaw_rad
605600031585,605.600031585,20.031274497649022,14.10228271756635,-0.2865675821584807,0.3616809776063454,-18.982886963763494,-2.4299961983380567,2.7725,-0.003683,42.60491952646075,2.7360741673721343,-0.036425832627865695,2.0545732465285576,1.5949685507672409,-1.1546960185064759
605700031590,605.70003159,20.070581259915905,14.089524998249226,-0.2895367467882145,0.33339838764552654,-19.008614500128445,-2.4247364473136814,2.4514,-0.003688,42.65784187446763,2.693154619145103,0.241754619145103,2.024726756919205,1.5696668008548955,-1.1484938953178798
605800031595,605.800031595,20.11070292110567,14.077280206568954,-0.2927803108182889,0.31718565548814254,-19.02387929651293,-2.4221707989708863,2.5033,-0.003693,42.75093474898152,2.6515957819787395,0.1482957819787396,1.9925337765072435,1.5446298957313969,-1.1428634283197938
605900031600,605.9000316,20.151201043012534,14.063938143192926,-0.2955853889312585,0.2807973030760009,-19.055839525804362,-2.4151360612916184,2.5036,-0.003698,42.70437976217766,2.6091126584463544,0.10551265844635438,1.959221645653565,1.5160908977881102,-1.1352199848263809
606000031605,606.000031605,20.192626547129965,14.051474324214585,-0.2982925025494833,0.26300917595427736,-19.07221926348222,-2.4127435390978165,2.4881,-0.003703,42.69017117113913,2.567801821875334,0.07970182187533359,1.9301726018036391,1.4901179518695797,-1.1302630887664156
606100031611,606.100031611,20.230718062616667,14.038144832411088,-0.3000439433051424,0.23411349627747852,-19.10074353814385,-2.4122295519809307,2.445,-0.003709,42.70965613687478,2.529003092883145,0.08400309288314523,1.9010732495113367,1.4687313206964256,-1.1265659839783648
606200031616,606.200031616,20.272761166778313,14.025168185888914,-0.3026944076440167,0.2179768975138596,-19.11265879577567,-2.4110842310203453,2.4994,-0.003714,42.76708624678173,2.4900735715967692,-0.009326428403230835,1.8681288070334165,1.4444136635417668,-1.1221869230763042
606300031621,606.300031621,20.31329596834238,14.01307536076028,-0.306950080449689,0.18985340236290155,-19.140442758853958,-2.407214234463447,2.4424,-0.003719,42.848071883848654,2.4477486942113273,0.005348694211327221,1.8370976441759024,1.421960180447668,-1.1155436001810113
606400031626,606.400031626,20.352196872385825,14.000973981039616,-0.3099633486062099,0.1750799575515906,-19.153315552110804,-2.4050568736269384,2.364,9.996276,42.989428081949455,2.4072457745103515,0.04324577451035161,1.8056044447675106,1.3993135390530567,-1.1102206579305338
606500031631,606.500031631,20.393666172340772,13.987771396106698,-0.3129329157472269,0.14783999991786131,-19.178405537413035,-2.4001380163557977,2.415,-0.003729,43.06818438670568,2.3700750700674935,-0.04492492993250652,1.7739230360711624,1.3793011536653665,-1.1053474729393753
606600031637,606.600031637,20.434796257604606,13.973340116312679,-0.3152912713772067,0.13486531642249966,-19.193507086355417,-2.3981042139229705,2.2876,-0.003735,43.23266906305835,2.3313550200592057,0.04375502005920584,1.7394948143901172,1.3586402051751552,-1.098560546346836
606700031642,606.700031642,20.476880600641884,13.960762012801869,-0.3174328868281998,0.10603429408292463,-19.220406197002617,-2.3935085708569486,2.0717,-0.00374,43.421655383989005,2.2904371139444866,0.2187371139444867,1.7057941416373763,1.3356912330420438,-1.0927406014138816
606800031647,606.800031647,20.516050963440346,13.948073453747119,-0.3196465695909631,0.09350879181331245,-19.233249969273995,-2.3919094754373464,2.1428,-0.003745,43.51000909148378,2.2531576764058876,0.11035767640588778,1.6778511395993008,1.3149965822948584,-1.0882115737641291
606900031652,606.900031652,20.556931788576023,13.934368857431167,-0.3204375320714589,0.0637039821637904,-19.26093624931381,-2.384637043706603,2.228,-0.00375,43.627833066164385,2.21388063995451,-0.014119360045490303,1.648105785340839,1.291277039271056,-1.080798442890965
